ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S11734,8.428542,8.484428,9.120528,7.962052,7.262214,8.452394
S11735,8.65294,8.65584,9.322272,8.049252,7.282292,8.829294
S11737,8.384128,8.325202,8.932646,7.88835,7.23717,8.419602
S11745,8.705534,8.696048,9.164004,8.035512,7.462954,8.826384
S11760,8.262176,8.217448,8.82725,7.736554,7.05913,8.40833
S11761,8.824714,8.547494,8.851824,7.731726,7.05785,8.268432
S11769,8.336172,8.397562,9.000866,7.874476,7.196482,8.604964
S11783,8.80548,8.815732,9.23484,7.995742,7.27724,8.654044
S11784,8.395996,8.429128,9.135114,7.85788,7.126182,8.573306
S11786,8.707524,8.760508,9.356298,8.017346,7.372548,8.721782
S11797,8.55984,8.700438,9.253512,7.95275,7.233562,8.67561
S11799,8.416378,8.62174,9.134344,8.005922,7.35536,8.53294
S118,8.577326,8.60882,9.256114,7.902762,7.2541,8.70195
S11800,8.825728,8.92201,9.353694,8.056668,7.394924,8.826256
S11802,8.580844,8.724148,9.085726,8.07271,7.25612,8.632058
S11806,8.345694,8.36558,9.001846,7.910956,7.13431,8.476242
S11807,8.922122,8.60073,9.012634,8.024706,7.50803,8.642158
S11810,8.461576,8.420106,9.051902,7.736334,7.11477,8.313552
S11811,8.739956,8.873772,9.307614,8.130474,7.385042,8.836926
S11812,8.329438,8.304658,8.978258,7.874726,7.274582,8.58321
S11820,8.613814,8.799442,9.27983,8.02466,7.293076,8.700052
S11822,8.42684,8.503878,9.167342,7.8797,7.228152,8.690558
S11823,8.633646,8.416856,9.039754,7.882308,7.145548,8.49869
S11826,8.534078,8.517656,9.128986,7.94365,7.109086,8.4211
S1183,8.568516,8.54506,8.737784,7.91643,7.016066,8.310656
S1184,8.598968,8.755066,9.12305,7.938428,7.372738,8.650718
S11842,8.97552,9.041384,9.367744,8.200312,7.494894,8.742532
S11843,8.40345,8.589438,9.248466,7.915422,7.216536,8.478524
S11844,8.622658,8.63105,9.18863,7.930072,7.30118,8.663568
S11850,8.638556,8.575246,9.192222,8.219324,7.44056,8.793442
S11853,8.509448,8.562002,9.016504,7.84385,7.163914,8.405976
S11857,8.389832,8.394382,9.072146,7.890806,7.145276,8.511332
S11858,8.429994,8.363974,8.995532,7.907678,7.193304,8.602768
S11860,8.777362,8.85083,9.32602,8.079578,7.403904,8.783882
S11864,8.450448,8.486378,9.169686,8.001598,7.226894,8.816412
S11870,8.694486,8.7604,9.211524,7.985116,7.26332,8.57311
S11875,8.466212,8.500588,9.162954,7.928418,7.197552,8.566242
