	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S20193	0	1	0	0	0	0	0	0
S20195	0	1	0	0	0	0	0	0
S20197	0	1	0	0	0	0	0	0
S2020	0	1	0	0	0	0	0	0
S20206	0	0.999035001132774	0	0.000964998867225733	0	0	0	0
S20211	0	0.996374840841767	0	0.00362515915823306	0	0	0	0
S20217	0	0.999558479499961	0	0	0.000441520500038937	0	0	0
S2022	0	1	0	0	0	0	0	0
S20220	0	0.999520892956653	0	0	0.000479107043346699	0	0	0
S20221	0	0.999808295863661	0	0	0.000191704136339248	0	0	0
S20229	0	1	0	0	0	0	0	0
S20236	0	0.9958769816265	0	0.00240076337287342	0.00172225500062663	0	0	0
S20238	0	1	0	0	0	0	0	0
S20246	0	1	0	0	0	0	0	0
S2025	0	0.998186965650379	0	0.00181303434962149	0	0	0	0
S20252	0	1	0	0	0	0	0	0
S20255	0	1	0	0	0	0	0	0
S20260	0	1	0	0	0	0	0	0
S20262	0	0.999713927623411	0	0	0.000286072376588546	0	0	0
S20270	0	1	0	0	0	0	0	0
S20277	0	1	0	0	0	0	0	0
