Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BluePrint-Blood.tsv	F	NK Cells	0.0	0.885	0.885	0.783225
Cibersort	BluePrint-Blood.tsv	F	Neutrophils	0.0	0.017	0.017	0.000289
Cibersort	BluePrint-Blood.tsv	F	CD4 T Cells	0.56725474098	0.011	0.55625474098	0.309419336863
Cibersort	BluePrint-Blood.tsv	F	CD8 T Cell	0.275164622016	0.005	0.270164622016	0.072988922989
Cibersort	BluePrint-Blood.tsv	G	B Cells	0.0169106711458	0.159	0.142089328854	0.0201893773742
Cibersort	BluePrint-Blood.tsv	G	Monocytes	0.274259503759	0.319	0.044740496241	0.00200171200389
Cibersort	BluePrint-Blood.tsv	G	NK Cells	0.0	0.016	0.016	0.000256
Cibersort	BluePrint-Blood.tsv	G	Neutrophils	0.379978565371	0.395	0.015021434629	0.000225643498313
Cibersort	BluePrint-Blood.tsv	G	CD4 T Cells	0.328851259725	0.08	0.248851259725	0.0619269494667
Cibersort	BluePrint-Blood.tsv	G	CD8 T Cell	0.0	0.032	0.032	0.001024
Cibersort	BluePrint-Blood.tsv	H	B Cells	0.0738678744825	0.1	0.0261321255175	0.000682887984062
Cibersort	BluePrint-Blood.tsv	H	Monocytes	0.529937990985	0.813	0.283062009015	0.0801241009476
Cibersort	BluePrint-Blood.tsv	H	NK Cells	0.0	0.01	0.01	0.0001
Cibersort	BluePrint-Blood.tsv	H	Neutrophils	0.0445060619133	0.001	0.0435060619133	0.0018927774232
Cibersort	BluePrint-Blood.tsv	H	CD4 T Cells	0.351688072619	0.05	0.301688072619	0.0910156931606
Cibersort	BluePrint-Blood.tsv	H	CD8 T Cell	0.0	0.025	0.025	0.000625
Cibersort	BluePrint-Blood.tsv	I	B Cells	0.0831642149628	0.1	0.0168357850372	0.000283443657819
Cibersort	BluePrint-Blood.tsv	I	Monocytes	0.557390165586	0.813	0.255609834414	0.0653363874492
Cibersort	BluePrint-Blood.tsv	I	NK Cells	0.0	0.01	0.01	0.0001
Cibersort	BluePrint-Blood.tsv	I	Neutrophils	0.0286832749828	0.001	0.0276832749828	0.000766363713773
Cibersort	BluePrint-Blood.tsv	I	CD4 T Cells	0.330762344469	0.05	0.280762344469	0.0788274940717
Cibersort	BluePrint-Blood.tsv	I	CD8 T Cell	0.0	0.025	0.025	0.000625
Cibersort	BluePrint-Blood.tsv	J	B Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	J	Monocytes	0.0792422164811	0	0.0792422164811	0.00627932887284
Cibersort	BluePrint-Blood.tsv	J	NK Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	J	Neutrophils	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	J	CD4 T Cells	0.48977248254	1	0.51022751746	0.260332119573
Cibersort	BluePrint-Blood.tsv	J	CD8 T Cell	0.430985300979	0	0.430985300979	0.18574832966
Cibersort	BluePrint-Blood.tsv	K	B Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	K	Monocytes	0.014241361238	0	0.014241361238	0.000202816369911
Cibersort	BluePrint-Blood.tsv	K	NK Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	K	Neutrophils	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	K	CD4 T Cells	0.600195457778	0	0.600195457778	0.360234587537
Cibersort	BluePrint-Blood.tsv	K	CD8 T Cell	0.385563180984	1	0.614436819016	0.377532604563
Cibersort	BluePrint-Blood.tsv	L	B Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	L	Monocytes	0.244098865376	0	0.244098865376	0.0595842560779
Cibersort	BluePrint-Blood.tsv	L	NK Cells	0.0	0	0.0	0.0
Cibersort	BluePrint-Blood.tsv	L	Neutrophils	0.0486659301695	0	0.0486659301695	0.00236837275926
Cibersort	BluePrint-Blood.tsv	L	CD4 T Cells	0.475769106159	1	0.524230893841	0.274818030057
