B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S1135	0	0	0.3527	0.0921	0	0.3422	0.1442	0	0	0.0688
S11352	0	0	0.2597	0.029	0	0.5106	0.1557	0	0	0.0449
S11353	0	0	0.2362	0.0066	0	0.5256	0.1872	0	0	0.0445
S11368	0	0	0.3037	0.0669	0	0.4596	0.0695	0	0	0.1003
S11369	0	0	0.2674	0.0863	0.013	0.2852	0.1559	0	0	0.1922
S11371	0	0	0.1794	0.1734	0.0769	0.3109	0.0984	0	0	0.1609
S11377	0	0	0.3731	0	0	0.4512	0.1455	0	0	0.0303
S11378	0	0	0.2596	0.1291	0	0.3276	0.1055	0	0.0436	0.1346
S11383	0	0	0.1974	0.1034	0	0.3436	0.1431	0	0	0.2126
S11384	0	0	0.2141	0.0995	0.076	0.2865	0.1526	0.0268	0	0.1444
S11392	0	0	0.2022	0.0372	0.0166	0.3587	0.1981	0	0	0.1872
S1140	0	0	0.1879	0.0982	0	0.4909	0.1811	0	0.0167	0.0252
S11410	0	0	0.2136	0.0178	0	0.4257	0.2196	0	0	0.1233
S11411	0	0	0.2015	0.1032	0.0145	0.3034	0.1312	0.0169	0	0.2292
S11414	0	0	0.1368	0.0873	0	0.4629	0.1495	0	0	0.1635
S11419	0	0	0.2523	0.0392	0	0.4824	0.1242	0	0	0.1018
S11424	0	0	0.2432	0	0	0.3099	0.2709	0.0124	0	0.1636
S11425	0	0	0.1632	0	0	0.3836	0.2423	0.0462	0	0.1647
S11433	0	0	0.2268	0.0971	0.023	0.2628	0.225	0	0	0.1654
S11434	0	0	0.2083	0.0881	0	0.372	0.0752	0.0112	0	0.2451
S11436	0	0	0.3342	0.0287	0	0.3828	0.1313	0	0	0.123
S11437	0	0	0.1358	0.0593	0	0.3871	0.2002	0.0272	0	0.1904
S11440	0	0	0.122	0.0324	0	0.7371	0.1085	0	0	0
S11449	0	0	0.1171	0.0271	0	0.4934	0.1875	0.0242	0	0.1506
S11459	0	0	0.2269	0.0545	0	0.2948	0.2939	0.0055	0.0234	0.101
S11477	0	0	0.2234	0.0313	0	0.5283	0.1313	0	0	0.0857
S11480	0	0	0.2136	0.0053	0	0.5444	0.1353	0	0	0.1014
S11486	0	0	0.2143	0	0	0.4971	0.2069	0	0	0.0818
S11501	0	0	0.2888	0.044	0	0.4253	0.1596	0	0.0055	0.0768
S11504	0	0	0.1796	0.1272	0.0334	0.2559	0.1881	0.0344	0.0204	0.1611
S11507	0	0	0.1233	0.0315	0.034	0.379	0.2436	0.0272	0	0.1613
S11518	0	0	0.2774	0.139	0.0154	0.1022	0.1231	0.0446	0	0.2983
S11525	0	0	0.1444	0.0582	0.04	0.2958	0.2	0.1098	0	0.1518
S11531	0	0	0.1704	0.0763	0	0.4479	0.1699	0	0	0.1356
S11532	0	0	0.1701	0.0728	0.0091	0.3537	0.1939	0.0055	0	0.1948
S1154	0	0	0.2853	0.0767	0	0.3748	0.1278	0	0	0.1354
S11542	0	0	0.1771	0.0616	0	0.4071	0.1594	0	0.0086	0.1861
S11543	0	0	0.2484	0.0884	0	0.4717	0.1152	0	0	0.0763
S11546	0	0	0.2461	0	0	0.502	0.1692	0	0	0.0827
S1155	0	0	0.23	0.0098	0	0.4424	0.1765	0	0	0.1412
S1156	0	0	0.1562	0.1388	0.1072	0.1518	0.0859	0.1007	0.0713	0.1881
S11568	0	0	0.2043	0.0377	0	0.5508	0.1488	0	0	0.0584
S11576	0	0	0.2344	0.0476	5e-04	0.2993	0.1732	0.0722	0	0.1728
S11584	0	0	0.2729	0	0	0.5527	0.1537	0	0	0.0207
S11586	0	0	0.181	0	0	0.458	0.1568	0	0	0.2042
S11590	0	0	0.252	0.0329	0	0.4198	0.1095	0	0	0.1858
S11592	0	0	0.1833	0.0576	0.0514	0.3288	0.229	0.002	0.0177	0.1301
S11593	0	0	0.2355	0.0465	0	0.4663	0.1355	0	0	0.1162
