ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
4530,7.0590604,8.1075836,7.365645,8.3199264,7.8337348,7.8020258
4535,7.2607822,8.2926224,7.2444868,8.5479576,7.6554926,7.6370294
4558,6.9833496,8.2529466,7.1345426,8.5616366,7.480431,7.367494
4560,6.6590958,7.852979,6.9082098,8.1847644,7.0228326,7.021683
4566,6.6670098,8.3035746,7.1870644,8.3187006,7.3048582,7.255992
4585,6.7297796,8.185349,7.1530398,8.461777,7.1406798,7.1636094
4595,6.9779256,8.0261496,7.4403858,8.2640128,7.9034994,7.8323942
4601,6.6855782,8.1272646,6.9506872,8.5277544,7.2108936,7.1537558
4603,6.9373978,8.3470296,7.0791138,8.5437194,7.406597,7.333185
4607,7.1204024,8.4803194,7.4833296,8.972478,7.7500592,7.8329352
4610,6.8526404,8.2171804,7.137221,8.6980358,7.3817876,7.35802
4612,7.0774432,8.54153,7.2385506,9.0265034,7.601697,7.6675
4618,6.8732902,7.912353,6.9326212,8.1876722,7.5582598,7.3052936
4619,6.64126,8.127805,7.0222422,8.5016562,7.2328956,7.0373442
4629,6.8179602,8.544278,7.1540612,8.7254334,7.5839026,7.3680076
